model,score,num_boost_round,epochs,batch_size,lr
XGBoost Regressor,4465.444695032592,857.0,,,
XGBoost Regressor,4444.001164392342,210.0,,,
XGBoost Regressor,4465.546092059582,886.0,,,
Logistic Regressor,49157.88325649289,,430.0,64.0,0.001
Logistic Regressor,18453.175645044135,,430.0,64.0,0.003
Logistic Regressor,22967.769792276315,,320.0,64.0,0.003
Logistic Regressor,16114.15471494449,,320.0,32.0,0.003
Logistic Regressor,15142.57775666953,,410.0,32.0,0.003
MLP Regressor,8580.709802765658,,460.0,32.0,0.0003
FNN Regressor,77343.59394977799,,380.0,64.0,0.0003
FNN Regressor,77342.8453674806,,380.0,64.0,0.0003
FNN Regressor,77342.44182314767,,420.0,64.0,0.0003
FNN Regressor,77342.10097222938,,420.0,128.0,0.0003
FNN Regressor,77342.38105429476,,420.0,128.0,0.0003
FNN Regressor,77345.18097545057,,260.0,128.0,0.0003
FNN Regressor,77346.94710684317,,260.0,128.0,0.0001
FNN Regressor,77348.20167149625,,80.0,128.0,0.0001
FNN Regressor,77347.83877404615,,80.0,128.0,0.0001
FNN Regressor,77348.19337805812,,80.0,128.0,0.0001
FNN Regressor,77348.10285524224,,50.0,128.0,0.0001
FNN Regressor,77346.20114936262,,50.0,128.0,0.001
FNN Regressor,77346.4701858086,,50.0,128.0,0.001
FNN Regressor,77346.90281677876,,50.0,128.0,0.001
FNN Regressor,77179.56188413023,,50.0,128.0,0.03
FNN Regressor,65879.00792595359,,260.0,128.0,0.03
FNN Regressor,63730.92463247672,,260.0,32.0,0.03
FNN Regressor,62877.70674630938,,330.0,32.0,0.03
FNN Regressor,54177.36354573703,,400.0,32.0,0.03
FNN Regressor,49402.133936216844,,400.0,64.0,0.03
FNN Regressor,74614.47648494996,,400.0,64.0,0.01
FNN Regressor,74422.58784424144,,400.0,16.0,0.01
FNN Regressor,77310.59806782105,,400.0,16.0,0.001
FNN Regressor,77333.61195193933,,240.0,16.0,0.001
FNN Regressor,76137.10878050173,,240.0,16.0,0.01
FNN Regressor,74531.98081165882,,360.0,16.0,0.01
FNN Regressor,62791.97310055199,,360.0,16.0,0.03
FNN Regressor,69166.24762266404,,220.0,16.0,0.03
FNN Regressor,67080.31982284143,,220.0,16.0,0.03
FNN Regressor,68165.45982960147,,220.0,32.0,0.03
FNN Regressor,76590.11123355794,,80.0,32.0,0.03
FNN Regressor,76443.28841357803,,80.0,16.0,0.03
FNN Regressor,76423.2408590526,,80.0,16.0,0.03
FNN Regressor,76135.27724241669,,90.0,16.0,0.03
FNN Regressor,76418.7105266255,,90.0,16.0,0.03
MLP Regressor,7929.813652200452,,460.0,32.0,0.001
MLP Regressor,7898.086519547435,,460.0,128.0,0.001
MLP Regressor,8585.879330551144,,460.0,128.0,0.0003
MLP Regressor,8477.631467242727,,460.0,32.0,0.0003
MLP Regressor,8416.099684019142,,460.0,32.0,0.0003
MLP Regressor,8740.52361355402,,460.0,32.0,0.0003
MLP Regressor,12954.18501072381,,460.0,32.0,0.0001
MLP Regressor,13481.446963834514,,460.0,32.0,0.0001
MLP Regressor,7944.7505714538165,,460.0,32.0,0.001
MLP Regressor,8434.287664362033,,460.0,32.0,0.0003
MLP Regressor,8569.180196459054,,490.0,32.0,0.0003
MLP Regressor,8489.808192010389,,490.0,128.0,0.0003
MLP Regressor,9019.256918459327,,390.0,128.0,0.0003
MLP Regressor,8684.320048674457,,390.0,64.0,0.0003
MLP Regressor,8971.43659086469,,390.0,64.0,0.0003
MLP Regressor,8928.695042048304,,390.0,128.0,0.0003
MLP Regressor,8590.250757931666,,390.0,64.0,0.0003
MLP Regressor,9244.187385204486,,330.0,64.0,0.0003
MLP Regressor,15391.867456469221,,130.0,64.0,0.0003
MLP Regressor,13970.277608036256,,130.0,64.0,0.0003
MLP Regressor,19971.911985659055,,100.0,64.0,0.0003
