,model,score,std_dev,r2,num_boost_round,epochs,batch_size,lr
279,Logistic Regressor,33344.630340118405,,,,490.0,32.0,0.003
280,Logistic Regressor,33354.904698867795,,,,490.0,32.0,0.001
281,Logistic Regressor,33355.24415423393,,,,330.0,32.0,0.001
282,Logistic Regressor,33349.75441505432,,,,330.0,32.0,0.003
283,XGBoost Regressor,2626.836406249997,,,1132.0,,,
284,XGBoost Regressor,2626.836406249997,,,1220.0,,,
285,Logistic Regressor,33354.24612285614,,,,170.0,32.0,0.003
286,Logistic Regressor,33355.24824168205,,,,170.0,32.0,0.003
287,Logistic Regressor,33342.91035797119,,,,170.0,32.0,0.01
288,Logistic Regressor,33342.5368800354,,,,170.0,16.0,0.01
289,Logistic Regressor,33357.0648461771,,,,170.0,16.0,0.001
290,Logistic Regressor,33353.74022485733,,,,170.0,16.0,0.003
291,Logistic Regressor,33354.55958034515,,,,170.0,32.0,0.003
292,FNN Regressor,12904.486796874997,,,,370.0,16.0,0.03
293,FNN Regressor,15761.250468749997,,,,370.0,32.0,0.03
294,FNN Regressor,18050.701640624997,,,,330.0,32.0,0.03
295,FNN Regressor,20718.787578124997,,,,330.0,32.0,0.03
296,XGBoost Regressor,2626.836406249997,,,1421.0,,,
297,XGBoost Regressor,2626.836406249997,,,1358.0,,,
298,XGBoost Regressor,2626.836406249997,,,989.0,,,
299,XGBoost Regressor,2626.836406249997,,,494.0,,,
300,Logistic Regressor,33351.75148822784,,,,240.0,32.0,0.003
301,Logistic Regressor,33336.645282287594,,,,240.0,32.0,0.01
302,LightGBM Regressor,7293.592265624997,,,1123.0,,,
303,LightGBM Regressor,7293.592265624997,,,1005.0,,,
304,LightGBM Regressor,7293.592265624997,,,814.0,,,
305,LightGBM Regressor,7293.592265624997,,,1401.0,,,
306,LightGBM Regressor,7293.592265624997,,,954.0,,,
307,LightGBM Regressor,7293.592265624997,,,1264.0,,,
308,LightGBM Regressor,7293.592265624997,,,844.0,,,
309,LightGBM Regressor,7293.592265624997,,,745.0,,,
310,LightGBM Regressor,7293.592265624997,,,522.0,,,
311,XGBoost Regressor,2626.836406249997,,,1422.0,,,
312,XGBoost Regressor,2626.836406249997,,,1465.0,,,
313,XGBoost Regressor,2626.836406249997,,,1368.0,,,
314,MLP Regressor,4268.717265624997,,,,250.0,128.0,0.003
315,MLP Regressor,2015.5727343749968,,,,250.0,128.0,0.003
316,MLP Regressor,7989.781718749997,,,,250.0,256.0,0.003
317,LightGBM Regressor,7293.592265624997,,,647.0,,,
318,XGBoost Regressor,2626.836406249997,,,812.0,,,
319,XGBoost Regressor,2626.836406249997,,,1066.0,,,
320,XGBoost Regressor,2626.836406249997,,,1455.0,,,
321,XGBoost Regressor,2626.836406249997,,,1356.0,,,
322,XGBoost Regressor,2626.836406249997,,,1897.0,,,
323,Logistic Regressor,33353.015852470395,,,,60.0,32.0,0.01
324,Logistic Regressor,33338.4785647583,,,,230.0,32.0,0.01
325,Logistic Regressor,33328.63511993408,,,,330.0,32.0,0.01
326,Logistic Regressor,33320.86775924682,,,,420.0,32.0,0.01
327,Logistic Regressor,33319.48033096313,,,,420.0,64.0,0.01
328,MLP Regressor,3967.078593749997,,,,250.0,256.0,0.003
