model,score,num_boost_round,epochs,batch_size,lr
XGBoost Regressor,3426.6033862984464,1663.0,,,
XGBoost Regressor,3426.6033862984464,1386.0,,,
XGBoost Regressor,3426.6033837822642,764.0,,,
XGBoost Regressor,3426.6033862984464,1355.0,,,
LightGBM Regressor,14818.496379251215,997.0,,,
MLP Regressor,50137.216529850986,,390.0,64.0,0.001
MLP Regressor,50131.64844751857,,290.0,64.0,0.001
MLP Regressor,50136.44040194045,,290.0,64.0,0.001
MLP Regressor,50301.131769048116,,290.0,64.0,0.0003
MLP Regressor,50320.628140776615,,290.0,64.0,0.0003
MLP Regressor,50312.204303687635,,290.0,64.0,0.0003
MLP Regressor,50337.80427420517,,290.0,128.0,0.0003
Logistic Regressor,50486.48632247022,,210.0,64.0,0.001
Logistic Regressor,50483.62079906155,,210.0,64.0,0.001
MLP Regressor,50318.44558212085,,290.0,256.0,0.0003
MLP Regressor,50315.17017735916,,290.0,64.0,0.0003
MLP Regressor,50357.40886634118,,220.0,64.0,0.0003
Logistic Regressor,50485.096442794056,,390.0,64.0,0.001
Logistic Regressor,50481.85337765417,,390.0,128.0,0.001
Logistic Regressor,50490.256545240394,,230.0,128.0,0.001
Logistic Regressor,50498.228641826245,,230.0,128.0,0.0001
Logistic Regressor,50496.36873088964,,230.0,128.0,0.001
Logistic Regressor,50456.865421810064,,230.0,128.0,0.003
Logistic Regressor,50469.89008828714,,260.0,128.0,0.003
LightGBM Regressor,12252.095916348924,1331.0,,,
LightGBM Regressor,10553.86088340746,1701.0,,,
MLP Regressor,50369.57373170491,,220.0,256.0,0.0003
MLP Regressor,50341.19626372949,,220.0,64.0,0.0003
MLP Regressor,50392.95402317516,,180.0,64.0,0.0003
MLP Regressor,50283.26170296466,,380.0,64.0,0.0003
MLP Regressor,50311.196410112236,,340.0,64.0,0.0003
XGBoost Regressor,3426.6033862984464,1590.0,,,
XGBoost Regressor,3426.6033862984464,1326.0,,,
XGBoost Regressor,3426.6033862984464,941.0,,,
XGBoost Regressor,3426.595688271838,478.0,,,
XGBoost Regressor,3426.6033862984464,1010.0,,,
XGBoost Regressor,3426.595670662442,461.0,,,
LightGBM Regressor,9955.698593849724,1966.0,,,
LightGBM Regressor,10799.968900030499,1601.0,,,
XGBoost Regressor,3426.5936439945135,600.0,,,
XGBoost Regressor,3426.603370823389,748.0,,,
XGBoost Regressor,3426.6033862984464,1446.0,,,
