model,score,epochs,batch_size,lr,num_boost_round
MLP Regressor,3.470796358273247,440.0,128.0,0.0003,
MLP Regressor,3.765217725410014,410.0,128.0,0.0003,
MLP Regressor,4.536355367777732,210.0,128.0,0.0003,
XGBoost Regressor,0.43134661293825377,,,,1429.0
FNN Regressor,0.6876677128609332,440.0,256.0,0.01,
FNN Regressor,0.5759751309689627,430.0,256.0,0.01,
FNN Regressor,0.652889133219286,430.0,256.0,0.01,
LightGBM Regressor,0.461437769263068,,,,1486.0
LightGBM Regressor,0.4618767312344536,,,,1831.0
LightGBM Regressor,0.4684243685447916,,,,975.0
LightGBM Regressor,0.46150586948146577,,,,1677.0
LightGBM Regressor,0.46133208416180094,,,,1766.0
LightGBM Regressor,0.4615858689916228,,,,1490.0
LightGBM Regressor,0.4659996379179741,,,,1034.0
MLP Regressor,4.845152465127616,210.0,64.0,0.0003,
MLP Regressor,4.618781930334639,210.0,256.0,0.0003,
MLP Regressor,4.176681188790052,210.0,256.0,0.003,
MLP Regressor,4.390409418704756,110.0,256.0,0.003,
MLP Regressor,4.382221695250004,110.0,64.0,0.003,
MLP Regressor,4.773912078735771,110.0,64.0,0.001,
MLP Regressor,4.521356668933545,110.0,64.0,0.001,
XGBoost Regressor,0.43134661293825377,,,,1655.0
XGBoost Regressor,0.43134661293825377,,,,1635.0
XGBoost Regressor,0.43134661293825377,,,,1090.0
XGBoost Regressor,0.43134661293825377,,,,1240.0
XGBoost Regressor,0.43134661293825377,,,,392.0
XGBoost Regressor,0.43134661293825377,,,,831.0
XGBoost Regressor,0.43134661293825377,,,,1477.0
XGBoost Regressor,0.43134661293825377,,,,1742.0
XGBoost Regressor,0.43134661293825377,,,,1423.0
MLP Regressor,4.154577449440805,260.0,64.0,0.001,
MLP Regressor,4.668639727579922,60.0,64.0,0.001,
MLP Regressor,4.494817728065458,80.0,64.0,0.001,
MLP Regressor,8.807780730018711,80.0,64.0,0.0001,
MLP Regressor,9.688286986160637,80.0,256.0,0.0001,
XGBoost Regressor,0.43134661293825377,,,,579.0
XGBoost Regressor,0.4303348444848967,,,,199.0
XGBoost Regressor,0.43134661293825377,,,,453.0
XGBoost Regressor,0.43134661293825377,,,,1251.0
XGBoost Regressor,0.43134661293825377,,,,548.0
XGBoost Regressor,0.4311783314644459,,,,257.0
XGBoost Regressor,0.43134661293825377,,,,382.0
XGBoost Regressor,0.43134661293825377,,,,1084.0
XGBoost Regressor,0.43134661293825377,,,,466.0
XGBoost Regressor,0.43134661293825377,,,,1344.0
XGBoost Regressor,0.43134661293825377,,,,1646.0
Logistic Regressor,12.109088649052334,380.0,16.0,0.001,
Logistic Regressor,23.213944409079406,400.0,16.0,0.001,
Logistic Regressor,27.727438514922156,400.0,64.0,0.001,
Logistic Regressor,30.416948842606534,240.0,64.0,0.001,
Logistic Regressor,43.226494287351876,410.0,64.0,0.001,
Logistic Regressor,15.125912289252467,410.0,16.0,0.001,
Logistic Regressor,30.47926222145774,310.0,16.0,0.001,
Logistic Regressor,22.729114377261823,310.0,32.0,0.001,
Logistic Regressor,11.725213739537184,310.0,64.0,0.001,
