model,score,num_boost_round,epochs,batch_size,lr
Logistic Regressor,24288.926203589377,,220.0,128.0,0.01
Logistic Regressor,24291.131743468042,,160.0,128.0,0.01
Logistic Regressor,24284.82811643751,,360.0,128.0,0.01
Logistic Regressor,24284.580553094216,,360.0,128.0,0.01
Logistic Regressor,24294.509922487807,,360.0,128.0,0.001
Logistic Regressor,24294.552861063556,,360.0,256.0,0.001
Logistic Regressor,24295.533954056442,,160.0,256.0,0.001
LightGBM Regressor,1857.771786874077,1582.0,,,
LightGBM Regressor,1854.3839780818487,1430.0,,,
Logistic Regressor,24295.746024792286,,160.0,256.0,0.0001
Logistic Regressor,24295.335680051623,,160.0,256.0,0.0001
Logistic Regressor,24295.85233195422,,200.0,256.0,0.0001
Logistic Regressor,24295.855768732366,,200.0,256.0,0.0003
Logistic Regressor,24295.499392670612,,200.0,64.0,0.0003
Logistic Regressor,24295.487275241918,,300.0,64.0,0.0003
Logistic Regressor,24295.53762187548,,300.0,64.0,0.0001
Logistic Regressor,24294.74795231147,,300.0,64.0,0.001
Logistic Regressor,24293.19609000462,,300.0,64.0,0.003
FNN Regressor,20520.736441375488,,420.0,64.0,0.01
FNN Regressor,23935.614484619622,,420.0,64.0,0.003
FNN Regressor,5674.1345363647015,,420.0,64.0,0.03
XGBoost Regressor,1714.0888142590975,1546.0,,,
FNN Regressor,8006.030297564932,,420.0,32.0,0.03
Logistic Regressor,24293.0603057672,,300.0,16.0,0.003
MLP Regressor,24220.338719538053,,270.0,64.0,0.0003
MLP Regressor,23962.683770563475,,430.0,64.0,0.0003
MLP Regressor,24046.056785132616,,430.0,32.0,0.0003
MLP Regressor,24051.001098712182,,430.0,64.0,0.0003
MLP Regressor,24061.816255884143,,430.0,64.0,0.0003
MLP Regressor,24087.980789614798,,430.0,32.0,0.0003
MLP Regressor,24013.596784802132,,430.0,32.0,0.0003
Logistic Regressor,24286.835362217527,,300.0,16.0,0.01
XGBoost Regressor,1714.0899376738193,1756.0,,,
XGBoost Regressor,1714.0867562467768,1161.0,,,
XGBoost Regressor,1714.0857253379477,968.0,,,
XGBoost Regressor,1714.0884292284968,1474.0,,,
XGBoost Regressor,1714.0860564546647,1030.0,,,
XGBoost Regressor,1714.0889479670184,1571.0,,,
Logistic Regressor,24287.29540108321,,280.0,16.0,0.01
XGBoost Regressor,1714.086681448526,1147.0,,,
XGBoost Regressor,1714.0865745985764,1127.0,,,
Logistic Regressor,24287.318807867727,,280.0,64.0,0.01
Logistic Regressor,24292.009467021595,,130.0,64.0,0.01
FNN Regressor,15797.58134292151,,220.0,32.0,0.03
FNN Regressor,15989.538928779817,,220.0,32.0,0.03
FNN Regressor,24008.655489745423,,50.0,32.0,0.03
FNN Regressor,22322.529063159138,,110.0,32.0,0.03
Logistic Regressor,24291.56547483733,,130.0,256.0,0.01
Logistic Regressor,24291.769800494403,,130.0,64.0,0.01
XGBoost Regressor,1714.083836505713,674.0,,,
LightGBM Regressor,1858.572862494822,1610.0,,,
Logistic Regressor,24291.75045631745,,130.0,256.0,0.01
Logistic Regressor,24291.93012737936,,130.0,64.0,0.01
Logistic Regressor,24292.88160633601,,100.0,64.0,0.01
MLP Regressor,24229.041434349085,,270.0,32.0,0.0003
MLP Regressor,22243.540710508103,,270.0,32.0,0.001
FNN Regressor,17716.40026100706,,200.0,32.0,0.03
XGBoost Regressor,1717.1118395541048,131.0,,,
XGBoost Regressor,1714.0859442962847,1009.0,,,
XGBoost Regressor,1715.2753266316417,205.0,,,
XGBoost Regressor,1714.086141912755,1046.0,,,
XGBoost Regressor,1714.0802251418409,549.0,,,
XGBoost Regressor,1714.557501025891,165.0,,,
XGBoost Regressor,1714.1060018893618,443.0,,,
MLP Regressor,4194.465795891199,,270.0,32.0,0.003
MLP Regressor,24242.11465625765,,270.0,32.0,0.0003
MLP Regressor,24293.239045499515,,70.0,32.0,0.0003
XGBoost Regressor,1714.0804353906185,546.0,,,
XGBoost Regressor,1714.0852287623813,875.0,,,
FNN Regressor,14175.59999066116,,270.0,32.0,0.03
XGBoost Regressor,1714.0838512155387,704.0,,,
XGBoost Regressor,1714.0855224216757,930.0,,,
XGBoost Regressor,1714.0897932006753,1729.0,,,
XGBoost Regressor,1714.0887768224259,1539.0,,,
Logistic Regressor,24292.967222915562,,100.0,64.0,0.01
Logistic Regressor,24286.465422939968,,300.0,64.0,0.01
Logistic Regressor,24286.535818794287,,300.0,64.0,0.01
Logistic Regressor,24286.06369041416,,310.0,64.0,0.01
Logistic Regressor,24286.478956162326,,310.0,16.0,0.01
Logistic Regressor,24293.13838539347,,310.0,16.0,0.003
Logistic Regressor,24293.498500740938,,260.0,16.0,0.003
Logistic Regressor,24294.93431026671,,260.0,16.0,0.001
MLP Regressor,24292.602242037745,,70.0,128.0,0.0003
MLP Regressor,24292.96870941591,,70.0,128.0,0.0003
MLP Regressor,23855.42691960516,,70.0,128.0,0.003
MLP Regressor,23804.203049681073,,70.0,128.0,0.003
MLP Regressor,23913.761864904704,,70.0,128.0,0.003
MLP Regressor,23920.909721404034,,70.0,128.0,0.003
Logistic Regressor,24294.952180799723,,250.0,16.0,0.001
Logistic Regressor,24294.63721560071,,350.0,16.0,0.001
Logistic Regressor,24295.395474342116,,160.0,16.0,0.001
Logistic Regressor,24295.055399419303,,160.0,32.0,0.001
Logistic Regressor,24295.460867227728,,160.0,32.0,0.001
Logistic Regressor,24295.467086072207,,160.0,32.0,0.0003
Logistic Regressor,24295.451296810403,,280.0,32.0,0.0003
FNN Regressor,20581.841147351948,,150.0,32.0,0.03
XGBoost Regressor,1714.0894240372559,1660.0,,,
FNN Regressor,22334.965794189608,,90.0,32.0,0.03
FNN Regressor,23246.85588853452,,90.0,128.0,0.03
FNN Regressor,23192.27777202085,,90.0,64.0,0.03
FNN Regressor,24290.59598169159,,90.0,64.0,0.001
MLP Regressor,23879.06954648012,,70.0,256.0,0.003
MLP Regressor,24292.921256273254,,70.0,256.0,0.0003
